time,Ar41ActOutletFlowrate,Ar41ActTotal
2299.0546875,2.8238735711716e-08,1.6097969361819e-05
2300.0546875,2.8241621263377e-08,1.6097942243311e-05
2301.0546875,2.8243141487629e-08,1.6097913598905e-05
2302.0546875,2.8243780380555e-08,1.6097884306792e-05
2303.0546875,2.8243030614838e-08,1.6097855746292e-05
2304.0546875,2.8241415690222e-08,1.6097828769589e-05
2304.5546875,2.8230112742101e-08,1.60978209037e-05
2305.5546875,2.8233047689141e-08,1.6097802114616e-05
2306.5546875,2.8234576945861e-08,1.6097781739541e-05
2307.5546875,2.8235194880104e-08,1.6097760686855e-05
2308.5546875,2.8234410299235e-08,1.609774034982e-05
2309.5546875,2.8232758856908e-08,1.6097721582422e-05
2310.5546875,2.8230759168612e-08,1.6097704718955e-05
2311.5546875,2.8228705979286e-08,1.609768979978e-05
2312.5546875,2.8226720798822e-08,1.6097676744909e-05
2313.5546875,2.8224832135097e-08,1.6097665446852e-05
2314.5546875,2.8223030890884e-08,1.6097655807959e-05
2315.5546875,2.8221299285541e-08,1.6097647748904e-05
2316.5546875,2.821962249765e-08,1.6097641205593e-05
2317.5546875,2.8217991405598e-08,1.6097636123398e-05
2318.5546875,2.8216401751373e-08,1.6097632452263e-05
2319.5546875,2.8214852464064e-08,1.6097630143513e-05
2320.5546875,2.8213344250059e-08,1.6097629148082e-05
2321.5546875,2.8211878712717e-08,1.609762941562e-05
2322.0546875,2.8200809214273e-08,1.6097635013115e-05
2323.0546875,2.820438924785e-08,1.6097642344472e-05
2324.0546875,2.8206578538927e-08,1.6097647274445e-05
2325.0546875,2.8207821744283e-08,1.6097650751397e-05
2326.0546875,2.8207632249086e-08,1.609765420363e-05
2327.0546875,2.8206567343419e-08,1.6097658498297e-05
2328.0546875,2.8205167578806e-08,1.6097663961033e-05
2329.0546875,2.820374436092e-08,1.6097670607044e-05
2330.0546875,2.8202430124166e-08,1.6097678320491e-05
2331.0546875,2.8201259820317e-08,1.6097686951853e-05
2332.0546875,2.8200227723499e-08,1.6097696358371e-05
2333.0546875,2.8199317381679e-08,1.6097706414563e-05
2334.0546875,2.8198513869018e-08,1.6097717010575e-05
2335.0546875,2.8197806845008e-08,1.6097728047512e-05
2336.0546875,2.819718988963e-08,1.6097739433474e-05
2337.0546875,2.8196658952598e-08,1.6097751081161e-05
2338.0546875,2.819621107526e-08,1.6097762906761e-05
2339.0546875,2.8195843662e-08,1.6097774829568e-05
2340.0546875,2.8195554207026e-08,1.6097786771875e-05
2341.0546875,2.8195340286209e-08,1.6097798658869e-05
2342.0546875,2.8195199648986e-08,1.6097810418446e-05
2343.0546875,2.8195130307068e-08,1.6097821980931e-05
2344.0546875,2.8195130574375e-08,1.6097833278761e-05
2345.0546875,2.8195199052003e-08,1.6097844246188e-05
2346.0546875,2.8195334572475e-08,1.6097854819036e-05
2347.0546875,2.8195536123555e-08,1.6097864934538e-05
2348.0546875,2.8195802769666e-08,1.6097874531253e-05
2349.0546875,2.8196133583026e-08,1.6097883549046e-05
2350.0546875,2.819652759045e-08,1.6097891929126e-05
2351.0546875,2.8196983736212e-08,1.6097899614121e-05
2352.0546875,2.8197500862519e-08,1.6097906548171e-05
2353.0546875,2.8198077695933e-08,1.6097912677029e-05
2354.0546875,2.8198712846016e-08,1.6097917948171e-05
2355.0546875,2.8199404807137e-08,1.6097922310899e-05
2356.0546875,2.8200151962759e-08,1.6097925716436e-05
2357.0546875,2.8200952590791e-08,1.6097928118026e-05
2358.0546875,2.8201804869286e-08,1.6097929471011e-05
2359.0546875,2.8202706882203e-08,1.6097929732919e-05
2360.0546875,2.8203656625208e-08,1.6097928863535e-05
2361.0546875,2.8204652011548e-08,1.6097926824966e-05
2362.0546875,2.8205690878076e-08,1.6097923581707e-05
2363.0546875,2.8206770991391e-08,1.6097919100693e-05
2364.0546875,2.8207890054032e-08,1.6097913351346e-05
2365.0546875,2.8209045710769e-08,1.6097906305619e-05
2366.0546875,2.8210235554018e-08,1.6097897938032e-05
2367.0546875,2.8211457129555e-08,1.6097888225701e-05
2368.0546875,2.8212707941099e-08,1.6097877148362e-05
2369.0546875,2.8213985454307e-08,1.6097864688395e-05
2370.0546875,2.8215287100022e-08,1.609785083084e-05
2371.0546875,2.821661027668e-08,1.6097835563414e-05
2372.0546875,2.8217952351973e-08,1.6097818876521e-05
2373.0546875,2.8219310663847e-08,1.6097800763271e-05
2373.5546875,2.8209636453945e-08,1.6097796508423e-05
2374.5546875,2.8215983147554e-08,1.6097781527789e-05
2375.5546875,2.8220915558603e-08,1.609776157825e-05
2376.5546875,2.8224859306385e-08,1.6097737666609e-05
2377.5546875,2.8227318023163e-08,1.60977112891e-05
2378.5546875,2.8228842563673e-08,1.6097683386274e-05
2379.5546875,2.8229968672926e-08,1.6097654361806e-05
2380.5546875,2.8231003042479e-08,1.6097624313115e-05
2381.0546875,2.8221161268098e-08,1.6097614193458e-05
2382.0546875,2.8227233342929e-08,1.6097587831907e-05
2383.0546875,2.8231948667134e-08,1.6097556790718e-05
2384.0546875,2.823571294832e-08,1.6097522037474e-05
2385.0546875,2.8238010656487e-08,1.6097485048476e-05
2386.0546875,2.8239378845571e-08,1.6097446758183e-05
2387.0546875,2.824034455518e-08,1.6097407572884e-05
2388.0546875,2.8241209223278e-08,1.6097367597772e-05
2389.0546875,2.8242096937916e-08,1.6097326814713e-05
2390.0546875,2.8243035073942e-08,1.6097285178793e-05
2391.0546875,2.8244010847582e-08,1.6097242658198e-05
2392.0546875,2.8245001314328e-08,1.6097199244142e-05
2393.0546875,2.824598575775e-08,1.6097154948475e-05
